1/sqr(SNR),Dominant Frequency (Actual),FFT Estimation,FFT Time,Custom Estimation,Custom Time,Frequency Count
0,16.016868467366827,16,0.003692150115966797,16.02768047736041,0.00024509429931640625,1
0,10.584044251176481,11,0.003814697265625,10.58679902530521,0.00022602081298828125,1
0,8.502934269434032,8,0.0034799575805664062,8.504983374258538,0.0002129077911376953,3
0,15.629076370790145,16,0.0034379959106445312,15.638493524584476,0.00022864341735839844,4
0,23.52395912744141,24,0.0036268234252929688,23.550100896846452,0.0002460479736328125,3
0,11.465100611649822,11,0.003920316696166992,11.468621720609862,0.0002269744873046875,1
0,30.555465799136236,31,0.0037260055541992188,30.60905797622132,0.0002682209014892578,1
0,24.399694313626128,24,0.003545045852661133,24.47300493828733,0.0002498626708984375,2
0,36.87873067293669,37,0.003425121307373047,36.94596002952001,0.0002689361572265625,1
0,32.639979694153304,33,0.0037698745727539062,32.69700147624242,0.0002639293670654297,4
0,26.889613158275843,27,0.003400087356567383,26.925708969479228,0.00024890899658203125,4
0,26.095652683290208,26,0.003573179244995117,26.131372590819872,0.0002620220184326172,1
0,19.014519289996727,19,0.003690958023071289,19.02981529040298,0.00023818016052246094,4
0,37.2881366614316,37,0.0037109851837158203,37.36869545992003,0.00027370452880859375,3
0,1.7836544701957115,2,0.003389120101928711,1.7836978419392273,0.00021600723266601562,3
0,24.78634828250955,25,0.0035867691040039062,24.818101922163585,0.000247955322265625,2
0,19.952447478891386,20,0.0034248828887939453,19.973549004522507,0.00023603439331054688,2
0,32.35998070165952,32,0.0035660266876220703,32.42687143065484,0.0002810955047607422,4
0,16.487929274576246,16,0.0035729408264160156,16.49841535422542,0.00023508071899414062,4
0,20.75850498139072,21,0.003568887710571289,20.781039701419147,0.00024008750915527344,3
0,21.404611781069995,21,0.0034360885620117188,21.43142750821372,0.0002391338348388672,3
0,23.993099968693677,24,0.003657817840576172,24.02055983518474,0.00025177001953125,1
0,33.714897367152766,34,0.003509044647216797,33.77994840006831,0.0002639293670654297,1
0,19.97192987252276,20,0.0036826133728027344,19.987853712569553,0.0002429485321044922,3
0,10.318006616961366,10,0.003448009490966797,10.321082763440844,0.00022459030151367188,4
0,3.8307380429029543,4,0.003505706787109375,3.830879555478072,0.0002079010009765625,2
0,30.75525186367384,31,0.00341796875,30.811913444438936,0.000263214111328125,4
0,16.702251086149953,17,0.003453969955444336,16.7134301948795,0.00023794174194335938,3
0,38.70882591771456,39,0.003428220748901367,38.798321280371255,0.0003199577331542969,2
0,29.705280913346666,30,0.0034990310668945312,29.75550549308911,0.000308990478515625,3
0.005,12.419041060571702,12,0.0035817623138427734,12.3949037658749,0.00022792816162109375,4
0.005,27.53811140563747,28,0.003515005111694336,27.52145762827882,0.0002570152282714844,4
0.005,33.702487218535914,34,0.0035011768341064453,33.643970845044585,0.0002620220184326172,3
0.005,17.810330914638612,18,0.003532886505126953,17.746492055110767,0.00023698806762695312,2
0.005,9.749676104836926,10,0.003803730010986328,9.708281412695753,0.0002627372741699219,1
0.005,11.399757358574536,11,0.0034317970275878906,11.370922800936384,0.0002231597900390625,4
0.005,9.684508073514644,10,0.0051708221435546875,9.654379051173638,0.00024199485778808594,2
0.005,1.7940177461808346,2,0.0034842491149902344,1.7864178267820534,0.0002238750457763672,2
0.005,19.1565075175442,19,0.0034711360931396484,19.098244789707977,0.00023698806762695312,1
0.005,14.161855608954061,14,0.0036160945892333984,14.120518608435995,0.0002391338348388672,3
0.005,37.44337453049348,37,0.0034868717193603516,37.41624101554,0.0002713203430175781,3
0.005,12.732429811782122,13,0.003435850143432617,12.716461985810456,0.0002238750457763672,3
0.005,23.144985944543244,23,0.003704071044921875,23.12972369936367,0.00024700164794921875,3
0.005,30.07560482167226,30,0.003390073776245117,30.054998373620794,0.0002510547637939453,3
0.005,31.722637207650386,32,0.0037412643432617188,31.658221686737214,0.00026607513427734375,1
0.005,25.025245326664365,25,0.0034797191619873047,24.98712358075762,0.00025010108947753906,2
0.005,11.451863103240079,11,0.003732919692993164,11.39984842584497,0.00022983551025390625,1
0.005,13.042388130976066,13,0.0038530826568603516,13.011197950927626,0.00023031234741210938,4
0.005,30.61836922680437,31,0.003840208053588867,30.55359998472095,0.00026297569274902344,2
0.005,32.53166457286378,33,0.0035238265991210938,32.49863458335274,0.0002837181091308594,4
0.005,5.443804134696737,5,0.0038809776306152344,5.414733543298554,0.00021386146545410156,2
0.005,4.116952522749882,4,0.0036020278930664062,4.104362758442144,0.00026869773864746094,4
0.005,27.97500292354803,28,0.003771066665649414,27.901820420818467,0.0002570152282714844,3
0.005,35.41789309667905,35,0.0035102367401123047,35.419873951848224,0.0002727508544921875,3
0.005,9.284497874837728,9,0.00360107421875,9.251768856339647,0.00022101402282714844,3
0.005,33.45451171442816,33,0.003676176071166992,33.41340747599569,0.00026416778564453125,3
0.005,24.08364696116049,24,0.0038161277770996094,24.044322957469763,0.0002529621124267578,3
0.005,38.27378574182037,38,0.0035088062286376953,38.346079056968506,0.00029969215393066406,4
0.005,21.277623085876538,21,0.003793954849243164,21.211288219330584,0.00024509429931640625,4
0.005,39.97824045180629,40,0.0035028457641601562,39.97531977569379,0.00031638145446777344,1
0.01,11.348510361764562,11,0.0036411285400390625,11.27661830679313,0.00022602081298828125,3
0.01,36.39618876175945,36,0.0035829544067382812,36.14055954330477,0.0002758502960205078,1
0.01,17.27067388221642,17,0.0034890174865722656,17.149083011226125,0.00023603439331054688,3
0.01,38.438340039888296,38,0.003772258758544922,38.18194358547568,0.0002770423889160156,2
